date,product,units_sold,unit_price,revenue,employee,cond,temp,dayname
2021-05-01,coffee12,6,1.95,11.7,Jason_Marshall,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Molly_Mercer,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Justin_Clark,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Patricia_Ross,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Maria_Morrison,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Brittany_Scott,sunny,63,Saturday
2021-05-01,coffee12,6,1.95,11.7,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Jason_Marshall,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Molly_Mercer,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Justin_Clark,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Patricia_Ross,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Maria_Morrison,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Brittany_Scott,sunny,63,Saturday
2021-05-01,coffee16,2,2.95,5.9,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Jason_Marshall,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Molly_Mercer,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Justin_Clark,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Patricia_Ross,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Maria_Morrison,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Brittany_Scott,sunny,63,Saturday
2021-05-01,smtgreen,5,8.95,44.75,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Jason_Marshall,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Molly_Mercer,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Justin_Clark,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Patricia_Ross,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Maria_Morrison,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Brittany_Scott,sunny,63,Saturday
2021-05-01,smttpink,5,8.95,44.75,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Jason_Marshall,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Molly_Mercer,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Justin_Clark,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Patricia_Ross,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Maria_Morrison,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Brittany_Scott,sunny,63,Saturday
2021-05-01,smprotein,2,8.95,17.9,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Jason_Marshall,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Molly_Mercer,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Justin_Clark,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Patricia_Ross,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Maria_Morrison,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Brittany_Scott,sunny,63,Saturday
2021-05-01,smtwired,2,9.95,19.9,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Jason_Marshall,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Molly_Mercer,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Justin_Clark,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Patricia_Ross,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Maria_Morrison,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Brittany_Scott,sunny,63,Saturday
2021-05-01,espsingle,6,2.95,17.700000000000003,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Jason_Marshall,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Molly_Mercer,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Justin_Clark,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Patricia_Ross,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Maria_Morrison,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Brittany_Scott,sunny,63,Saturday
2021-05-01,espamericana12,3,2.95,8.850000000000001,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Jason_Marshall,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Molly_Mercer,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Justin_Clark,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Patricia_Ross,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Maria_Morrison,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Brittany_Scott,sunny,63,Saturday
2021-05-01,espamericana16,7,3.95,27.650000000000002,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Jason_Marshall,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Molly_Mercer,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Justin_Clark,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Patricia_Ross,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Maria_Morrison,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Brittany_Scott,sunny,63,Saturday
2021-05-01,espcap12,3,4.95,14.850000000000001,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Jason_Marshall,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Molly_Mercer,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Justin_Clark,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Patricia_Ross,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Maria_Morrison,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Brittany_Scott,sunny,63,Saturday
2021-05-01,espcap16,5,5.95,29.75,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Jason_Marshall,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Molly_Mercer,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Justin_Clark,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Patricia_Ross,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Maria_Morrison,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Brittany_Scott,sunny,63,Saturday
2021-05-01,esphouse12,3,4.95,14.850000000000001,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Jason_Marshall,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Molly_Mercer,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Justin_Clark,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Patricia_Ross,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Maria_Morrison,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Brittany_Scott,sunny,63,Saturday
2021-05-01,esphouse16,7,5.95,41.65,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Jason_Marshall,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Molly_Mercer,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Justin_Clark,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Patricia_Ross,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Maria_Morrison,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Brittany_Scott,sunny,63,Saturday
2021-05-01,esppink12,4,5.95,23.8,Robert_Thomas_DDS,sunny,63,Saturday
2021-05-01,esppink16,2,6.95,13.9,Jason_Marshall,sunny,63,Saturday
2021-05-01,esppink16,2,6.95,13.9,Molly_Mercer,sunny,63,Saturday
2021-05-01,esppink16,2,6.95,13.9,Justin_Clark,sunny,63,Saturday
2021-05-01,esppink16,2,6.95,13.9,Patricia_Ross,sunny,63,Saturday
2021-05-01,esppink16,2,6.95,13.9,Maria_Morrison,sunny,63,Saturday
